,city_state,population,lat,lng
13171,"Rialto, CA",103562.0,34.1175,-117.3894
28376,"Bend, OR",103349.0,44.0562,-121.3087
20625,"Columbia, MD",103170.0,39.2004,-76.859
12112,"Charlottesville, VA",102016.0,38.0375,-78.4855
1259,"La Crosse, WI",101886.0,43.8241,-91.2268
5377,"Temple, TX",101876.0,31.1076,-97.3894
13179,"Vista, CA",101568.0,33.1896,-117.2386
484,"Renton, WA",101379.0,47.4758,-122.1905
11718,"Sparks, NV",100888.0,39.5729,-119.7157
25431,"Holland, MI",100885.0,42.7677,-86.0984
13124,"Vacaville, CA",100801.0,38.359,-121.968
22697,"Logan, UT",100774.0,41.74,-111.8419
4788,"Allen, TX",100685.0,33.1088,-96.6735
4687,"Longview, TX",100196.0,32.5192,-94.7622
19847,"Meridian, ID",99926.0,43.6112,-116.3968
4520,"San Angelo, TX",99890.0,31.4426,-100.4501
4407,"Wichita Falls, TX",99617.0,33.9072,-98.529
12676,"Longmont, CO",99398.0,40.169,-105.0996
14067,"Manteca, CA",98736.0,37.7934,-121.2266
14285,"Arden-Arcade, CA",98616.0,38.6034,-121.381
2900,"Boca Raton, FL",98150.0,26.3749,-80.1077
261,"Spokane Valley, WA",97847.0,47.6625,-117.2346
22895,"Orem, UT",97839.0,40.2983,-111.6992
21840,"Middletown, OH",97762.0,39.5032,-84.366
13054,"Compton, CA",97612.0,33.893,-118.2275
19872,"Idaho Falls, ID",97548.0,43.4872,-112.0363
28405,"Beaverton, OR",97514.0,45.4779,-122.8168
7421,"Bismarck, ND",97457.0,46.814,-100.7695
25953,"Lawrence, KS",97341.0,38.9598,-95.2641
19713,"Prescott Valley, AZ",97066.0,34.5982,-112.3178
359,"Federal Way, WA",96690.0,47.309,-122.3359
13400,"San Marcos, CA",96198.0,33.135,-117.1743
3747,"Rio Rancho, NM",96159.0,35.2872,-106.6981
22720,"Sandy, UT",96145.0,40.5706,-111.851
13375,"Tracy, CA",95982.0,37.726,-121.444
19290,"Brockton, MA",95672.0,42.0821,-71.0242
14018,"South Gate, CA",95430.0,33.9448,-118.1926
13392,"Hesperia, CA",94859.0,34.3975,-117.3147
17093,"Roswell, GA",94786.0,34.0391,-84.3513
6040,"Mandeville, LA",94760.0,30.375,-90.0906
3405,"Vineland, NJ",94734.0,39.4653,-74.9981
11836,"Portsmouth, VA",94572.0,36.8468,-76.354
25024,"Dearborn, MI",94491.0,42.3127,-83.2129
2325,"Sunrise, FL",94323.0,26.1547,-80.2997
19277,"Quincy, MA",94166.0,42.2516,-71.0183
24896,"Livonia, MI",94105.0,42.3972,-83.3733
19328,"Lynn, MA",94063.0,42.4779,-70.9663
2083,"Plantation, FL",93909.0,26.126,-80.2617
6167,"Slidell, LA",93882.0,30.2881,-89.7826
